form	lemma	POS	morph
༄༅། །		PUNCT
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
རྒྱ་གར་	རྒྱ་གར་	PROPN
སྐད་	སྐད་	NOUN
དུ་	ལ་	PART
།		PUNCT
མ་	མ་	PART
ཧཱ་		NON_WORD
མུ་	མུ་	NOUN
དྲཱ་		NON_WORD
ཨུ་པ་	ཨུ་པ་	NO_POS
དེ་	སྟེ་	PART
ཤཾ་		NON_WORD
།		PUNCT
བོད་སྐད་	བོད་སྐད་	PROPN
དུ་	ལ་	PART
།		PUNCT
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
།		PUNCT
དཔལ་	དཔལ་	OTHER
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
སྐྱེས་པ་	སྐྱེས་པ་	VERB
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
བསྟན་	བསྟན་	VERB
དུ་	ལ་	PART
མེད་	མེད་	VERB
ཀྱིས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
། །		PUNCT
དཀའ་བ་	དཀའ་བ་	VERB
སྤྱོད་	སྤྱོད་	VERB
ཅིང་	ཅིང་	PART
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
བཟོད་ལྡན་	བཟོད་ལྡན་	NO_POS
བློ་ལྡན་	བློ་ལྡན་	NOUN
ནཱ་	ནཱ་	NO_POS
རོ་པ་	རོ་པ་	NOUN
"།
།"		PUNCT
སྐལ་ལྡན་	སྐལ་ལྡན་	ADJ
ཁྱོད་	ཁྱོད་	PRON
ཀྱི་	གི་	PART
སྙིང་	སྙིང་	NOUN
ལ་	ལ་	PART
འདི་ལྟར་	འདི་ལྟར་	NO_POS
བྱོས་	བྱོས་	VERB
། །		PUNCT
ཀྱེ་	ཀྱེ་	INTJ
ཧོ་	ཧོ་	NO_POS
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
ཆོ་	ཆོ་	NOUN
ལ་	ལ་	PART
ལེགས་	ལེགས་	VERB
ལྟོ་	ལྟོ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
རྟག་	རྟག་	VERB
མི་	མི་	PART
ཐུབ་	ཐུབ་	VERB
སྟེ་	སྟེ་	PART
རྨི་ལམ་	རྨི་ལམ་	NOUN
སྒྱུ་མ་	སྒྱུ་མ་	NOUN
འདྲ་	འདྲ་	VERB
། །		PUNCT
རྨི་ལམ་	རྨི་ལམ་	NOUN
སྒྱུ་མ་	སྒྱུ་མ་	NOUN
དོན་	དོན་	NOUN
ལ་	ལ་	PART
ཡོད་	ཡོད་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
"།
།"		PUNCT
དེས་ན་	དེས་ན་	NO_POS
སྐྱོ་བ་	སྐྱོ་བ་	VERB
བསྐྱེད་	བསྐྱེད་	VERB
ལ་	ལ་	PART
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
བྱ་བ་	བྱ་བ་	VERB
ཐོང་	ཐོང་	VERB
། །		PUNCT
འཁོར་ཡུལ་	འཁོར་ཡུལ་	NO_POS
ཆགས་སྡང་	ཆགས་སྡང་	NOUN
འབྲེལ་བ་	འབྲེལ་བ་	VERB
ཀུན་	ཀུན་	DET
ཆོད་	ཆོད་	VERB
ལ་	ལ་	PART
"།
།"		PUNCT
གཅིག་པུ་	གཅིག་པུ་	ADJ
ར་	ལ་	PART
ནགས་འདབས་	ནགས་འདབས་	NOUN
རི་ཁྲོད་	རི་ཁྲོད་	NOUN
དགོན་པ་	དགོན་པ་	NOUN
ར་	ལ་	PART
སྒོམས་	སྒོམས་	VERB
། །		PUNCT
བསྒོམ་	བསྒོམ་	VERB
དུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
ལ་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
ར་	ལ་	PART
གྱིས་	གིས་	PART
། །		PUNCT
ཐོབ་	ཐོབ་	VERB
མེད་	མེད་	VERB
ཐོབ་	ཐོབ་	VERB
ན་	ལ་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཐོབ་	ཐོབ་	VERB
"།
།"		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
འདི་	འདི་	DET
དོན་མེད་	དོན་མེད་	ADJ
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
རྒྱུ་	རྒྱུ་	NOUN
། །		PUNCT
བྱ་	བྱ་	VERB
ཆོ་	ཆོ་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
མེད་པ་	མེད་པ་	VERB
ས་	གིས་	PART
དོན་དམ་	དོན་དམ་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
ར་	ལ་	PART
ལྟོ་	ལྟོ་	VERB
"།
།"		PUNCT
བློ་	བློ་	NOUN
ཡི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ཀྱིས་	གིས་	PART
བློ་འདས་	བློ་འདས་	NO_POS
དོན་	དོན་	NOUN
མི་	མི་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ཀྱིས་	གིས་	PART
བྱར་མེད་	བྱར་མེད་	NOUN
དོན་	དོན་	NOUN
མི་	མི་	PART
བསླེབ་		NON_WORD
"།
།"		PUNCT
བློ་འདས་	བློ་འདས་	NO_POS
བྱར་མེད་	བྱར་མེད་	NOUN
དོན་	དོན་	NOUN
དེ་	སྟེ་	PART
ཐོབ་	ཐོབ་	VERB
འདོད་	འདོད་	VERB
ན་	ལ་	PART
། །		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
རྩད་	རྩད་	NOUN
ཆོད་	ཆོད་	VERB
རིག་པ་	རིག་པ་	VERB
གཅེར་བུ་	གཅེར་བུ་	ADJ
ར་	ལ་	PART
ཞོག་	ཞོག་	VERB
།		PUNCT
རྟོག་པ་	རྟོག་པ་	VERB
དྲི་མ་	དྲི་མ་	NOUN
འི་	གི་	PART
ཆུ་	ཆུ་	NOUN
དེ་	སྟེ་	PART
དྭངས་	དྭངས་	NO_POS
སུ་	ལ་	PART
ཆུག་	ཆུག་	VERB
།		PUNCT
སྣང་བ་	སྣང་བ་	VERB
དགག་སྒྲུབ་	དགག་སྒྲུབ་	OTHER
མི་	མི་	PART
བྱ་	བྱ་	VERB
རང་སོ་		
ཞོག་	ཞོག་	VERB
།		PUNCT
སྤང་བླང་	སྤང་བླང་	NOUN
མེད་	མེད་	VERB
ན་	ལ་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ར་	ལ་	PART
གྲོལ་	གྲོལ་	VERB
"།
།"		PUNCT
དཔེར་ན་	དཔེར་ན་	NO_POS
ལྗོན་ཤིང་	ལྗོན་ཤིང་	NOUN
ཡལ་ག་	ཡལ་ག་	NOUN
ལོ་འདབ་	ལོ་འདབ་	NOUN
རྒྱ་	རྒྱ་	VERB
། །		PUNCT
རྩ་	རྩ་	NUM
བཅད་	བཅད་	VERB
ཡལ་ག་	ཡལ་ག་	NOUN
ལོ་འདབ་	ལོ་འདབ་	NOUN
ཁྲི་	ཁྲི་	NUM
འབུམ་	འབུམ་	NUM
སྐམ་	སྐམ་	VERB
། །		PUNCT
དཔེར་ན་	དཔེར་ན་	NO_POS
བསྐལ་པ་	བསྐལ་པ་	NOUN
སྟོང་	སྟོང་	NUM
དུ་	ལ་	PART
བསགས་པ་	བསགས་པ་	VERB
འི་	གི་	PART
མུན་པ་	མུན་པ་	NOUN
ཡང་	ཀྱང་	PART
"།
།"		PUNCT
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
གཅིག་	གཅིག་	NUM
གིས་	གིས་	PART
མུན་པ་	མུན་པ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
རྣམས་	རྣམས་	DET
སེལ་	སེལ་	VERB
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
རང་སེམས་	རང་སེམས་	NOUN
འོད་གསལ་	འོད་གསལ་	NOUN
སྐད་ཅིག་	སྐད་ཅིག་	OTHER
གིས་	གིས་	PART
"།
།"		PUNCT
བསྐལ་པ་	བསྐལ་པ་	NOUN
ར་	ལ་	PART
བསགས་པ་	བསགས་པ་	VERB
འི་	གི་	PART
སྡིག་སྒྲིབ་	སྡིག་སྒྲིབ་	NOUN
མ་	མ་	PART
ལུས་	ལུས་	NOUN
སེལ་	སེལ་	VERB
། །		PUNCT
བློ་	བློ་	NOUN
དམན་	དམན་	VERB
སྐྱེ་བོ་	སྐྱེ་བོ་	NOUN
དོན་	དོན་	NOUN
ལ་	ལ་	PART
མི་	མི་	PART
གནས་	གནས་	NOUN
ན་	ལ་	PART
"།
།"		PUNCT
རླུང་	རླུང་	NOUN
གི་	གི་	PART
གནད་	གནད་	NOUN
བཟུང་	བཟུང་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
གཅུད་	གཅུད་	NO_POS
ལ་	ལ་	PART
བོ་	བོ་	VERB
། །		PUNCT
ལྟ་སྟངས་	ལྟ་སྟངས་	NOUN
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
སེམས་	སེམས་	NOUN
འཛིན་	འཛིན་	VERB
དུ་མ་	དུ་མ་	ADJ
ཡི་	གིས་	PART
། །		PUNCT
རིག་པ་	རིག་པ་	VERB
ངང་	ངང་	NOUN
ལ་	ལ་	PART
མི་	མི་	PART
གནས་	གནས་	NOUN
བ་	བ་	NOUN
དུ་	ལ་	PART
གཅུན་	གཅུན་	NO_POS
"།
།"		PUNCT
དཔེར་ན་	དཔེར་ན་	NO_POS
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
དཀྱིལ་	དཀྱིལ་	NOUN
ནི་	ནི་	NO_POS
བརྟག་	བརྟག་	VERB
བྱ་	བྱ་	VERB
ན་	ལ་	PART
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
སེཾ་		NON_WORD
ཀྱི་	གི་	PART
རྩད་	རྩད་	NOUN
བཅད་	བཅད་	VERB
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
ལོ་འདབ་	ལོ་འདབ་	NOUN
སྐམ་	སྐམ་	VERB
"།
།"		PUNCT
སེཾ་		NON_WORD
ནི་	ནི་	NO_POS
ནམ་མཁ་	ནམ་མཁའ་	NOUN
འི་	གི་	PART
དཀྱིལ་	དཀྱིལ་	NOUN
ལྟ་	ལྟ་	OTHER
བསམ་ཡུལ་	བསམ་ཡུལ་	NO_POS
འདའ་	འདའ་	VERB
། །		PUNCT
མཐའ་	མཐའ་	NOUN
དང་	དང་	NO_POS
དབུ་	དབུ་	NOUN
སུ་	ལ་	PART
འཛིན་པ་	འཛིན་པ་	VERB
འགག་པ་	འགག་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
སེམས་	སེམས་	NOUN
ཀྱིས་	གིས་	PART
སེམས་	སེམས་	NOUN
ལ་	ལ་	PART
བརྟག་	བརྟག་	VERB
བྱ་	བྱ་	VERB
ན་	ལ་	PART
"།
།"		PUNCT
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
ཚོགས་	ཚོགས་	NOUN
འགག་	འགག་	VERB
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
